site,lat,lon
SPO.DE_DEBW099_PM1_dataGroup1,48.78313,9.18072
SPO.DE_DEBW112_PM1_dataGroup1,48.64561,8.90444
SPO.DE_DEBW118_PM1_dataGroup1,48.7881,9.19101
SPO.DE_DEBW122_PM1_dataGroup1,47.9882,7.85992
SPO.DE_DEBY001_PM1_dataGroup1,49.30489,10.5723
SPO.DE_DEBY007_PM1_dataGroup1,48.37658,10.88837
SPO.DE_DEBY009_PM1_dataGroup1,49.89833,10.88769
SPO.DE_DEBY035_PM1_dataGroup1,47.55747,9.68887
SPO.DE_DEBY037_PM1_dataGroup1,48.13725,11.56492
SPO.DE_DEBY039_PM1_dataGroup1,48.15453,11.55467
SPO.DE_DEBY056_PM1_dataGroup1,49.47221,10.98471
SPO.DE_DEBY077_PM1_dataGroup1,49.80469,9.95642
SPO.DE_DEBY088_PM1_dataGroup1,48.02166,12.53817
SPO.DE_DEBY115_PM1_dataGroup1,48.14961,11.53651
SPO.DE_DEBY122_PM1_dataGroup1,47.54108,10.43655
SPO.DE_DEHE001_PM1_dataGroup1,49.8723,8.66462
SPO.DE_DEHE005_PM1_dataGroup1,50.10175,8.54252
SPO.DE_DEHE008_PM1_dataGroup1,50.12533,8.74634
SPO.DE_DEHE011_PM1_dataGroup1,50.13577,8.92157
SPO.DE_DEHE013_PM1_dataGroup1,51.31425,9.4834
SPO.DE_DEHE020_PM1_dataGroup1,50.56718,8.50062
SPO.DE_DEHE028_PM1_dataGroup1,49.65347,8.81725
SPO.DE_DEHE030_PM1_dataGroup1,50.80426,8.76932
SPO.DE_DEHE032_PM1_dataGroup1,50.97002,9.80026
SPO.DE_DEHE037_PM1_dataGroup1,50.07719,8.23032
SPO.DE_DEHE040_PM1_dataGroup1,49.86946,8.65375
SPO.DE_DEHE041_PM1_dataGroup1,50.12459,8.69191
SPO.DE_DEHE044_PM1_dataGroup1,50.38322,8.061
SPO.DE_DEHE045_PM1_dataGroup1,49.67251,9.00198
