site,lon,lat
SPO.CZ_UTPMA_PM10_765857,13.85125,50.64528
SPO.CZ_UTUSA_PM10_40343,13.32762,50.37659
SPO.CZ_UULDA_PM10_1366805,13.99787,50.68312
SPO.CZ_UULKA_PM10_40412,14.04119,50.68353
SPO.CZ_UULMA_PM10_212840,14.04306,50.66109
SPO.CZ_ZVMZA_PM10_1369059,17.96698,49.47206
SPO.CZ_ZZLNA_PM10_41228,17.66718,49.23291
SPO.DE_DEBB021_PM1_dataGroup1,13.06016,52.40139
SPO.DE_DEBB029_PM1_dataGroup1,14.28514,53.06426
SPO.DE_DEBB032_PM1_dataGroup1,14.63817,52.14626
SPO.DE_DEBB044_PM1_dataGroup1,14.328,51.75659
SPO.DE_DEBB045_PM1_dataGroup1,14.53859,52.33734
SPO.DE_DEBB048_PM1_dataGroup1,12.80948,52.93189
SPO.DE_DEBB049_PM1_dataGroup1,12.54859,52.40938
SPO.DE_DEBB053_PM1_dataGroup1,14.01517,52.56389
SPO.DE_DEBB054_PM1_dataGroup1,13.03747,52.39393
SPO.DE_DEBB063_PM1_dataGroup1,11.73846,52.99875
SPO.DE_DEBB064_PM1_dataGroup1,14.33447,51.74685
SPO.DE_DEBB065_PM1_dataGroup1,12.56139,52.19423
SPO.DE_DEBB066_PM1_dataGroup1,14.0569,51.89749
SPO.DE_DEBB067_PM1_dataGroup1,12.88532,52.60853
SPO.DE_DEBB068_PM1_dataGroup1,13.58227,52.67765
SPO.DE_DEBB073_PM1_dataGroup1,13.09428,52.38895
SPO.DE_DEBB075_PM1_dataGroup1,13.1237,52.48417
SPO.DE_DEBB083_PM1_dataGroup1,14.3764,51.5645
SPO.DE_DEBB086_PM1_dataGroup1,13.4243,52.3497
SPO.DE_DEBB092_PM1_dataGroup1,14.52596,52.33468
SPO.DE_DEBE010_PM1_dataGroup1,13.34933,52.54304
SPO.DE_DEBE032_PM1_dataGroup1,13.22514,52.47319
SPO.DE_DEBE034_PM1_dataGroup1,13.43084,52.48945
SPO.DE_DEBE051_PM1_dataGroup1,13.48308,52.64417
SPO.DE_DEBE061_PM1_dataGroup1,13.31825,52.46361
SPO.DE_DEBE065_PM1_dataGroup1,13.46993,52.51407
SPO.DE_DEBE068_PM1_dataGroup1,13.41883,52.51361
SPO.DE_DEBE069_PM1_dataGroup1,13.38772,52.43811
SPO.DE_DEBE125_PM1_dataGroup1,13.38238,52.50981
SPO.DE_DEBE127_PM1_dataGroup1,13.44121,52.46747
SPO.DE_DEBW005_PM1_dataGroup1,8.46528,49.54408
SPO.DE_DEBW010_PM1_dataGroup1,8.7001,49.30073
SPO.DE_DEBW015_PM1_dataGroup1,9.22479,49.16551
SPO.DE_DEBW019_PM1_dataGroup1,9.97903,48.39684
SPO.DE_DEBW023_PM1_dataGroup1,7.63327,47.58815
SPO.DE_DEBW027_PM1_dataGroup1,9.20732,48.48889
SPO.DE_DEBW029_PM1_dataGroup1,10.09629,48.84792
SPO.DE_DEBW033_PM1_dataGroup1,8.66554,48.88904
SPO.DE_DEBW046_PM1_dataGroup1,9.80033,48.08989
SPO.DE_DEBW056_PM1_dataGroup1,9.73323,49.10788
SPO.DE_DEBW059_PM1_dataGroup1,9.65792,49.63484
SPO.DE_DEBW073_PM1_dataGroup1,7.56797,47.81902
SPO.DE_DEBW080_PM1_dataGroup1,8.38719,49.00796
SPO.DE_DEBW081_PM1_dataGroup1,8.35563,49.02859
SPO.DE_DEBW084_PM1_dataGroup1,7.83212,48.00151
SPO.DE_DEBW098_PM1_dataGroup1,8.47204,49.49256
SPO.DE_DEBW099_PM1_dataGroup1,9.18072,48.78313
SPO.DE_DEBW112_PM1_dataGroup1,8.90444,48.64561
SPO.DE_DEBW118_PM1_dataGroup1,9.19101,48.7881
SPO.DE_DEBW122_PM1_dataGroup1,7.85992,47.9882
SPO.DE_DEBW136_PM1_dataGroup1,9.05802,48.52023
SPO.DE_DEBW147_PM1_dataGroup1,9.21079,48.48933
SPO.DE_DEBY001_PM1_dataGroup1,10.5723,49.30489
SPO.DE_DEBY007_PM1_dataGroup1,10.88837,48.37658
SPO.DE_DEBY009_PM1_dataGroup1,10.88769,49.89833
SPO.DE_DEBY035_PM1_dataGroup1,9.68887,47.55747
SPO.DE_DEBY037_PM1_dataGroup1,11.56492,48.13725
SPO.DE_DEBY039_PM1_dataGroup1,11.55467,48.15453
SPO.DE_DEBY056_PM1_dataGroup1,10.98471,49.47221
SPO.DE_DEBY063_PM1_dataGroup1,12.10156,49.01525
SPO.DE_DEBY072_PM1_dataGroup1,12.54887,49.43846
SPO.DE_DEBY077_PM1_dataGroup1,9.95642,49.80469
SPO.DE_DEBY088_PM1_dataGroup1,12.53817,48.02166
SPO.DE_DEBY110_PM1_dataGroup1,10.89622,48.37024
SPO.DE_DEBY115_PM1_dataGroup1,11.53651,48.14961
SPO.DE_DEBY119_PM1_dataGroup1,9.94765,49.79053
SPO.DE_DEBY121_PM1_dataGroup1,12.18832,47.64846
SPO.DE_DEBY122_PM1_dataGroup1,10.43655,47.54108
SPO.DE_DEBY198_PM1_dataGroup1,11.43464,48.74262
SPO.DE_DEBY200_PM1_dataGroup1,13.46936,48.57663
SPO.DE_DEHB004_PM1_dataGroup1,8.62546,53.18095
SPO.DE_DEHB006_PM1_dataGroup1,8.82517,53.07866
SPO.DE_DEHB013_PM1_dataGroup1,8.69506,53.1177
SPO.DE_DEHE001_PM1_dataGroup1,8.66462,49.8723
SPO.DE_DEHE005_PM1_dataGroup1,8.54252,50.10175
SPO.DE_DEHE008_PM1_dataGroup1,8.74634,50.12533
SPO.DE_DEHE011_PM1_dataGroup1,8.92157,50.13577
SPO.DE_DEHE013_PM1_dataGroup1,9.4834,51.31425
SPO.DE_DEHE018_PM1_dataGroup1,8.45153,50.01032
SPO.DE_DEHE020_PM1_dataGroup1,8.50062,50.56718
SPO.DE_DEHE024_PM1_dataGroup1,9.77459,51.29176
SPO.DE_DEHE028_PM1_dataGroup1,8.81725,49.65347
SPO.DE_DEHE030_PM1_dataGroup1,8.76932,50.80426
SPO.DE_DEHE032_PM1_dataGroup1,9.80026,50.97002
SPO.DE_DEHE037_PM1_dataGroup1,8.23032,50.07719
SPO.DE_DEHE040_PM1_dataGroup1,8.65375,49.86946
SPO.DE_DEHE041_PM1_dataGroup1,8.69191,50.12459
SPO.DE_DEHE044_PM1_dataGroup1,8.061,50.38322
SPO.DE_DEHE045_PM1_dataGroup1,9.00198,49.67251
SPO.DE_DEHE049_PM1_dataGroup1,9.49112,51.31208
SPO.DE_DEHE050_PM1_dataGroup1,9.27123,51.36076
SPO.DE_DEHE059_PM1_dataGroup1,9.68485,50.55003
SPO.DE_DEHE061_PM1_dataGroup1,8.66858,50.58411
SPO.DE_DEHE062_PM1_dataGroup1,8.77051,50.80717
SPO.DE_DEHE063_PM1_dataGroup1,8.642,49.64324
SPO.DE_DEHE112_PM1_dataGroup1,8.22887,50.07212
SPO.DE_DEHE116_PM1_dataGroup1,8.78489,50.10149
SPO.DE_DEHE131_PM1_dataGroup1,8.05991,50.38643
SPO.DE_DEHE135_PM1_dataGroup1,8.57631,50.07546
SPO.DE_DEHH008_PM1_dataGroup1,9.96788,53.56414
SPO.DE_DEHH059_PM1_dataGroup1,9.99057,53.50793
SPO.DE_DEHH068_PM1_dataGroup1,10.05386,53.5923
SPO.DE_DEHH079_PM1_dataGroup1,9.94482,53.54527
SPO.DE_DEHH081_PM1_dataGroup1,9.9816,53.52916
SPO.DE_DEHH082_PM1_dataGroup1,9.9614,53.6222
SPO.DE_DEMV004_PM1_dataGroup1,12.06471,53.81777
SPO.DE_DEMV007_PM1_dataGroup1,12.17411,54.16155
SPO.DE_DEMV012_PM1_dataGroup1,14.25741,53.52046
SPO.DE_DEMV017_PM1_dataGroup1,11.3733,53.3074
SPO.DE_DEMV019_PM1_dataGroup1,12.17551,53.78175
SPO.DE_DEMV020_PM1_dataGroup1,12.14199,54.09228
SPO.DE_DEMV021_PM1_dataGroup1,12.08,54.17133
SPO.DE_DEMV022_PM1_dataGroup1,12.09955,54.09262
SPO.DE_DEMV024_PM1_dataGroup1,12.46393,53.39635
SPO.DE_DEMV025_PM1_dataGroup1,13.08101,54.31923
SPO.DE_DEMV026_PM1_dataGroup1,13.34214,54.32351
SPO.DE_DEMV028_PM1_dataGroup1,11.47596,53.90226
SPO.DE_DEMV031_PM1_dataGroup1,12.09792,54.17729
SPO.DE_DEMV058_PM1_dataGroup1,13.2679,53.5588
SPO.DE_DEMV059_PM1_dataGroup1,11.39795,53.63052
SPO.DE_DEMV060_PM1_dataGroup1,13.2682,53.5461
SPO.DE_DENI020_PM1_dataGroup1,10.81638,52.44081
SPO.DE_DENI028_PM1_dataGroup1,10.23854,51.50758
SPO.DE_DENI038_PM1_dataGroup1,8.05286,52.25534
SPO.DE_DENI041_PM1_dataGroup1,9.06255,52.17017
SPO.DE_DENI042_PM1_dataGroup1,9.94976,51.55107
SPO.DE_DENI043_PM1_dataGroup1,7.31747,52.49855
SPO.DE_DENI048_PM1_dataGroup1,9.7155,52.35948
SPO.DE_DENI051_PM1_dataGroup1,10.61248,51.75816
SPO.DE_DENI053_PM1_dataGroup1,7.94257,52.99796
SPO.DE_DENI054_PM1_dataGroup1,9.70612,52.36292
SPO.DE_DENI060_PM1_dataGroup1,11.16705,52.95702
SPO.DE_DENI063_PM1_dataGroup1,9.68503,53.52418
SPO.DE_DENI067_PM1_dataGroup1,8.04147,52.2703
SPO.DE_DENI068_PM1_dataGroup1,9.92833,51.5302
SPO.DE_DENI070_PM1_dataGroup1,10.45591,52.15369
SPO.DE_DENI075_PM1_dataGroup1,10.54055,52.26673
SPO.DE_DENI077_PM1_dataGroup1,9.55462,51.70884
SPO.DE_DENI143_PM1_dataGroup1,8.21208,53.14284
SPO.DE_DENI157_PM1_dataGroup1,10.79368,52.42789
SPO.DE_DENW002_PM1_dataGroup1,7.33141,51.64138
SPO.DE_DENW006_PM1_dataGroup1,7.56976,51.59221
SPO.DE_DENW029_PM1_dataGroup1,7.20855,51.40301
SPO.DE_DENW038_PM1_dataGroup1,6.86505,51.45346
