site,lon,lat
SPO.DE_DEBW099_PM2_dataGroup1,9.18072,48.78313
SPO.DE_DEBW112_PM2_dataGroup1,8.90444,48.64561
SPO.DE_DEBW118_PM2_dataGroup1,9.19101,48.7881
SPO.DE_DEBW122_PM2_dataGroup1,7.85992,47.9882
SPO.DE_DEBW147_PM2_dataGroup1,9.21079,48.48933
SPO.DE_DEBY001_PM2_dataGroup1,10.5723,49.30489
SPO.DE_DEBY002_PM2_dataGroup1,12.18865,50.05819
SPO.DE_DEBY007_PM2_dataGroup1,10.88837,48.37658
SPO.DE_DEBY009_PM2_dataGroup1,10.88769,49.89833
SPO.DE_DEBY013_PM2_dataGroup1,12.78139,48.18284
SPO.DE_DEBY031_PM2_dataGroup1,10.30656,47.72514
SPO.DE_DEBY037_PM2_dataGroup1,11.56492,48.13725
SPO.DE_DEBY049_PM2_dataGroup1,11.77782,48.85321
SPO.DE_DEBY052_PM2_dataGroup1,10.00829,48.39708
SPO.DE_DEBY053_PM2_dataGroup1,11.08844,49.44591
SPO.DE_DEBY058_PM2_dataGroup1,11.0248,49.46223
SPO.DE_DEBY067_PM2_dataGroup1,12.12814,49.32196
SPO.DE_DEBY075_PM2_dataGroup1,12.15936,49.67895
SPO.DE_DEBY077_PM2_dataGroup1,9.95642,49.80469
SPO.DE_DEBY109_PM2_dataGroup1,11.22017,47.96875
SPO.DE_DEBY115_PM2_dataGroup1,11.53651,48.14961
SPO.DE_DEBY187_PM2_dataGroup1,10.59772,48.95218
SPO.DE_DEBY198_PM2_dataGroup1,11.43464,48.74262
SPO.DE_DEBY200_PM2_dataGroup1,13.46936,48.57663
SPO.DE_DEHB002_PM2_dataGroup1,8.91697,53.06004
SPO.DE_DEHB005_PM2_dataGroup1,8.56941,53.56246
SPO.DE_DEHB012_PM2_dataGroup1,8.73506,53.13172
SPO.DE_DEHB013_PM2_dataGroup1,8.69506,53.1177
SPO.DE_DEHE001_PM2_dataGroup1,8.66462,49.8723
SPO.DE_DEHE005_PM2_dataGroup1,8.54252,50.10175
SPO.DE_DEHE008_PM2_dataGroup1,8.74634,50.12533
SPO.DE_DEHE011_PM2_dataGroup1,8.92157,50.13577
SPO.DE_DEHE013_PM2_dataGroup1,9.4834,51.31425
SPO.DE_DEHE020_PM2_dataGroup1,8.50062,50.56718
SPO.DE_DEHE024_PM2_dataGroup1,9.77459,51.29176
SPO.DE_DEHE028_PM2_dataGroup1,8.81725,49.65347
SPO.DE_DEHE030_PM2_dataGroup1,8.76932,50.80426
SPO.DE_DEHE032_PM2_dataGroup1,9.80026,50.97002
SPO.DE_DEHE037_PM2_dataGroup1,8.23032,50.07719
SPO.DE_DEHE040_PM2_dataGroup1,8.65375,49.86946
SPO.DE_DEHE041_PM2_dataGroup1,8.69191,50.12459
SPO.DE_DEHE044_PM2_dataGroup1,8.061,50.38322
SPO.DE_DEHE045_PM2_dataGroup1,9.00198,49.67251
SPO.DE_DEHE049_PM2_dataGroup1,9.49112,51.31208
SPO.DE_DEHE050_PM2_dataGroup1,9.27123,51.36076
SPO.DE_DEHE059_PM2_dataGroup1,9.68485,50.55003
SPO.DE_DEHE061_PM2_dataGroup1,8.66858,50.58411
SPO.DE_DEHE062_PM2_dataGroup1,8.77051,50.80717
SPO.DE_DEHE063_PM2_dataGroup1,8.642,49.64324
SPO.DE_DEHE112_PM2_dataGroup1,8.22887,50.07212
SPO.DE_DEHE116_PM2_dataGroup1,8.78489,50.10149
SPO.DE_DEHE131_PM2_dataGroup1,8.05991,50.38643
